TimeStamp,SensorData_Name,SensorData_humidity,SensorData_temperature,SensorData_light,SensorData_barometric_pressure
2025-03-01 03:48:00+00:00,Rad_S_3_out,99.99,2.98,0.0,943.39
2025-03-01 03:48:00+00:00,Temp_N_1_in,99.99,3.75,727.68,942.52
2025-03-01 03:48:00+00:00,Temp_N_2_out,99.99,3.82,0.0,943.69
2025-03-01 03:48:00+00:00,Temp_S_1_out,99.99,3.6,0.0,942.5
2025-03-01 03:48:00+00:00,Temp_S_3_out,99.99,3.61,0.0,943.05
2025-03-01 03:48:00+00:00,Rad_S_3_in,99.99,3.03,0.0,943.74
2025-03-01 03:48:00+00:00,Temp_N_3_in,99.99,3.7,0.0,943.23
2025-03-01 03:48:00+00:00,Temp_N_2_in,99.99,3.73,0.0,943.53
2025-03-01 03:48:00+00:00,Rad_S_1_out,27.08,3.06,0.0,943.72
2025-03-01 03:48:00+00:00,Rad_S_1_in,0.0,2.68,0.0,942.75
2025-03-01 03:48:00+00:00,Rad_N_3_in,99.99,3.1,0.0,933.23
2025-03-01 03:48:00+00:00,Rad_N_1_out,99.99,3.13,0.0,942.28
2025-03-01 03:48:00+00:00,Temp_S_2_out,99.99,3.66,0.0,943.09
2025-03-01 03:48:00+00:00,Temp_N_3_out,99.99,3.52,0.0,943.63
2025-03-01 03:51:00+00:00,Rad_S_3_in,99.99,3.13,0.0,943.74
2025-03-01 03:51:00+00:00,Temp_S_3_in,99.99,3.88,0.0,943.06
2025-03-01 03:51:00+00:00,Temp_N_2_in,99.99,3.96,0.0,943.52
2025-03-01 03:51:00+00:00,Temp_S_2_out,99.99,3.79,0.0,943.06
2025-03-01 03:51:00+00:00,Rad_S_1_in,0.0,2.76,0.0,942.83
2025-03-01 03:51:00+00:00,Temp_N_1_in,99.99,3.87,727.68,942.59
2025-03-01 03:51:00+00:00,Rad_N_1_out,99.99,3.21,0.0,942.36
2025-03-01 03:51:00+00:00,Temp_S_3_out,99.99,3.71,0.0,943.02
2025-03-01 03:51:00+00:00,Rad_S_3_out,99.99,3.05,0.0,943.46
2025-03-01 03:51:00+00:00,Temp_N_3_out,99.99,3.63,0.0,943.59
2025-03-01 03:51:00+00:00,Temp_S_1_out,99.99,3.67,0.0,942.53
2025-03-01 03:51:00+00:00,Rad_N_3_in,99.99,3.25,0.0,933.18
2025-03-01 03:51:00+00:00,Temp_N_3_in,99.99,3.8,0.0,943.15
2025-03-01 03:51:00+00:00,Rad_S_1_out,26.79,3.16,0.0,943.71
2025-03-01 03:51:00+00:00,Temp_N_2_out,99.99,3.93,0.0,943.75
2025-03-01 03:54:00+00:00,Rad_N_1_out,99.99,3.3,0.0,942.3
2025-03-01 03:54:00+00:00,Rad_N_3_in,99.99,3.31,0.0,933.03
2025-03-01 03:54:00+00:00,Temp_S_3_out,99.99,3.81,0.0,942.96
2025-03-01 03:54:00+00:00,Temp_S_3_in,99.99,3.99,0.0,943.0
2025-03-01 03:54:00+00:00,Rad_S_1_in,0.0,2.86,0.0,942.71
2025-03-01 03:54:00+00:00,Temp_S_1_out,99.99,3.84,0.0,942.47
2025-03-01 03:54:00+00:00,Temp_N_2_in,99.99,3.94,0.0,943.44
2025-03-01 03:54:00+00:00,Rad_S_1_out,26.32,3.3,0.0,943.69
2025-03-01 03:54:00+00:00,Temp_N_1_in,99.99,3.99,727.68,942.48
2025-03-01 03:54:00+00:00,Rad_S_3_in,99.99,3.24,0.0,943.77
2025-03-01 03:54:00+00:00,Temp_N_2_out,99.99,4.04,0.0,943.69
2025-03-01 03:54:00+00:00,Rad_S_3_out,99.99,3.19,0.0,943.44
2025-03-01 03:54:00+00:00,Temp_S_2_out,99.99,3.84,0.0,943.01
2025-03-01 03:54:00+00:00,Temp_N_3_in,99.99,3.89,0.0,943.22
2025-03-01 03:54:00+00:00,Temp_N_3_out,99.99,3.78,0.0,943.57
2025-03-01 03:57:00+00:00,Temp_S_2_out,99.99,3.81,0.0,943.01
2025-03-01 03:57:00+00:00,Temp_S_3_in,99.99,3.97,0.0,942.99
2025-03-01 03:57:00+00:00,Temp_N_3_out,99.99,3.74,0.0,943.62
2025-03-01 03:57:00+00:00,Temp_N_2_in,99.99,3.87,0.0,943.44
2025-03-01 03:57:00+00:00,Temp_N_3_in,99.99,3.8,0.0,943.16
2025-03-01 03:57:00+00:00,Rad_N_3_in,99.99,3.26,0.0,932.99
2025-03-01 03:57:00+00:00,Rad_S_3_in,99.99,3.24,0.0,943.74
2025-03-01 03:57:00+00:00,Temp_N_1_in,99.99,3.95,727.68,942.48
2025-03-01 03:57:00+00:00,Rad_N_1_out,99.99,3.3,0.0,942.31
2025-03-01 03:57:00+00:00,Rad_S_1_out,26.41,3.31,0.0,943.61
2025-03-01 03:57:00+00:00,Rad_S_1_in,0.0,2.86,0.0,942.68
2025-03-01 03:57:00+00:00,Temp_S_1_out,99.99,3.82,0.0,942.45
2025-03-01 03:57:00+00:00,Temp_N_2_out,99.99,4.03,0.0,943.67
2025-03-01 03:57:00+00:00,Rad_S_3_out,99.99,3.21,0.0,943.34
